 GET / 304 34.122 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:00 GMT
 GET /css/styles.css 304 6.679 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:00 GMT
 GET /css/main.css 304 4.651 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:00 GMT
 GET /vendors/animate/animate.css 304 1.743 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:00 GMT
 GET /vendors/css/ch5m3d.css 304 1.441 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:00 GMT
 GET /vendors/js/ch5m3d.js 304 1.075 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:00 GMT
 GET /img/image.png 304 5.290 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:00 GMT
 GET /img/description.png 304 2.735 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:00 GMT
 GET /js/scripts.js 304 10.147 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:00 GMT
 GET /js/main.js 304 13.854 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:00 GMT
 GET /vendors/js/bootstrap.bundle.js 304 14.276 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0 Tue, 08 Oct 2024 22:31:00 GMT
